Time,CH1[V]
1407,-0.9375
1408,-0.78125
1409,-0.78125
1410,-0.9375
1411,-0.78125
1412,-0.78125
1413,-0.78125
1414,-0.78125
1415,-0.78125
1416,-0.9375
1417,-0.78125
1418,-0.78125
1419,-0.78125
1420,-0.78125
1421,-0.9375
1422,-0.78125
1423,-0.78125
1424,-0.78125
1425,-0.625
1426,-0.78125
1427,-0.9375
1428,-0.78125
1429,-0.78125
1430,-0.78125
1431,-0.9375
1432,-0.9375
1433,-0.9375
1434,-0.9375
1435,-0.9375
1436,-0.78125
1437,-0.9375
1438,-0.78125
1439,-0.9375
1440,-0.78125
1441,-0.78125
1442,-0.9375
1443,-0.78125
1444,-0.9375
1445,-0.78125
1446,-0.78125
1447,-0.78125
1448,-0.78125
1449,-0.78125
1450,-0.9375
1451,-0.9375
1452,-0.78125
1453,-0.78125
1454,-0.9375
1455,-0.78125
1456,-0.9375
1457,-0.625
1458,-0.78125
1459,-0.9375
1460,-0.78125
1461,-0.78125
1462,-0.9375
1463,-0.625
1464,-0.9375
1465,-0.78125
1466,-0.78125
1467,-0.78125
1468,-0.78125
1469,-0.9375
1470,-0.78125
1471,-0.9375
1472,-0.78125
1473,-0.9375
1474,-0.78125
1475,-0.9375
1476,-0.78125
1477,-0.78125
1478,-0.9375
1479,-0.78125
1480,-0.9375
1481,-0.78125
1482,-0.78125
1483,-0.78125
1484,-0.78125
1485,-0.78125
1486,-0.78125
1487,-0.78125
1488,-0.9375
1489,-0.9375
1490,-0.9375
1491,-0.9375
1492,-0.78125
1493,-0.78125
1494,-0.78125
1495,-0.78125
1496,-0.9375
1497,-0.9375
1498,-0.9375
1499,-0.78125
1500,-0.9375
1501,-0.9375
1502,-0.78125
1503,-0.78125
1504,-0.9375
1505,-0.78125
1506,-0.78125
1507,-0.9375
1508,-0.9375
1509,-0.78125
1510,-0.78125
1511,-0.9375
1512,-0.9375
1513,-0.78125
1514,-0.78125
1515,-0.78125
1516,-0.9375
1517,-0.78125
1518,-0.9375
1519,-0.9375
1520,-0.9375
1521,-0.78125
1522,-0.9375
1523,-0.78125
1524,-0.78125
1525,-0.78125
1526,-0.78125
1527,-0.78125
1528,-0.78125
1529,-0.78125
1530,-0.78125
1531,-0.78125
1532,-0.78125
1533,-0.9375
1534,-0.78125
1535,-0.78125
1536,-0.9375
1537,-0.9375
1538,-0.78125
1539,-0.78125
1540,-0.9375
1541,-0.78125
1542,-0.78125
1543,-0.9375
1544,-0.9375
1545,-0.78125
1546,-0.78125
1547,-0.78125
1548,-0.78125
1549,-0.78125
1550,-0.78125
1551,-0.9375
1552,-0.78125
1553,-0.78125
1554,-0.78125
1555,-0.78125
1556,-0.78125
1557,-0.78125
1558,-0.9375
1559,-0.78125
1560,-0.78125
1561,-0.78125
1562,-0.9375
1563,-0.78125
1564,-0.78125
1565,-0.78125
1566,-0.9375
1567,-0.78125
1568,-0.78125
1569,-0.9375
1570,-0.625
1571,-0.9375
1572,-0.78125
1573,-0.9375
1574,-0.78125
1575,-0.78125
1576,-0.78125
1577,-0.78125
1578,-0.78125
1579,-0.78125
1580,-0.78125
1581,-0.78125
1582,-0.78125
1583,-0.78125
1584,-0.78125
1585,-0.9375
1586,-0.9375
1587,-0.9375
1588,-0.9375
1589,-0.9375
1590,-0.9375
1591,-0.9375
1592,-0.9375
1593,-0.78125
1594,-0.9375
1595,-0.9375
1596,-0.9375
1597,-0.78125
1598,-0.9375
1599,-0.9375
1600,-0.78125
1601,-0.78125
1602,-0.78125
1603,-0.9375
1604,-0.78125
1605,-0.9375
1606,-0.78125
1607,-0.9375
1608,-0.9375
1609,-0.9375
1610,-0.78125
1611,-0.9375
1612,-0.78125
1613,-0.9375
1614,-0.78125
1615,-0.9375
1616,-0.9375
1617,-0.9375
1618,-0.9375
1619,-0.9375
1620,-0.9375
1621,-0.9375
1622,-0.78125
1623,-0.9375
1624,-0.78125
1625,-0.78125
1626,-0.78125
1627,-0.78125
1628,-1.09375
1629,-0.78125
1630,-0.9375
1631,-0.78125
1632,-0.78125
1633,-0.78125
1634,-0.9375
1635,-0.9375
1636,-0.78125
1637,-0.9375
1638,-0.9375
1639,-0.78125
1640,-0.9375
1641,-0.78125
1642,-0.78125
1643,-0.78125
1644,-0.78125
1645,-0.78125
1646,-0.78125
1647,-0.9375
1648,-0.78125
1649,-0.9375
1650,-0.9375
1651,-0.78125
1652,-0.78125
1653,-0.78125
1654,-0.9375
1655,-0.78125
1656,-0.9375
1657,-0.78125
1658,-0.78125
1659,-0.9375
1660,-0.78125
1661,-0.78125
1662,-0.78125
1663,-0.9375
1664,-0.78125
1665,-0.78125
1666,-0.78125
1667,-0.9375
1668,-0.9375
1669,-0.625
1670,-0.78125
1671,-0.78125
1672,-0.78125
1673,-0.9375
1674,-0.78125
1675,-0.9375
1676,-0.78125
1677,-0.9375
1678,-0.78125
1679,-0.9375
1680,-0.78125
1681,-0.9375
1682,-0.78125
1683,-0.78125
1684,-0.78125
1685,-0.9375
1686,-0.9375
1687,-0.9375
1688,-0.9375
1689,-0.9375
1690,-0.9375
1691,-0.78125
1692,-0.9375
1693,-0.9375
1694,-0.9375
1695,-0.78125
1696,-0.625
1697,-0.9375
1698,-0.78125
1699,-0.9375
1700,-0.9375
1701,-0.78125
1702,-0.9375
1703,-0.9375
1704,-0.78125
1705,-0.9375
1706,-0.78125
1707,-0.78125
1708,-0.9375
1709,-0.9375
1710,-0.9375
1711,-0.78125
1712,-0.78125
1713,-0.9375
1714,-0.78125
1715,-0.78125
1716,-0.9375
1717,-0.9375
1718,-0.9375
1719,-0.9375
1720,-0.9375
1721,-0.78125
1722,-0.9375
1723,-0.9375
1724,-0.9375
1725,-0.9375
1726,-0.9375
1727,-0.78125
1728,-0.78125
1729,-0.78125
1730,-0.78125
