éûçè,cell_1(V),cell_2(V),cell_3(V),cell_4(V),cell_5(V),cell_6(V),cell_7(V),cell_8(V),cell_9(V),cell_10(V),cell_11(V),cell_12(V),cell_13(V),cell_14(V),cell_15(V),cell_16(V)
11:25:10,3.3877,3.3863,3.3919,3.3966,3.393,3.3916,3.3949,3.413,3.4351,3.4122,3.394,3.3888,3.414,3.354,3.4199,3.3941
11:25:11,3.3847,3.3835,3.3868,3.3912,3.3888,3.3865,3.3911,3.4108,3.4248,3.4085,3.3901,3.3872,3.4126,3.3515,3.4175,3.3914
11:25:12,3.3838,3.3814,3.3856,3.3903,3.3882,3.3854,3.3893,3.4099,3.4178,3.4075,3.3887,3.385,3.4096,3.3489,3.415,3.3893
11:25:13,3.3838,3.3814,3.3856,3.3903,3.3882,3.3854,3.3893,3.4099,3.4178,3.4075,3.3887,3.385,3.4092,3.3484,3.4138,3.3877
11:25:14,3.3812,3.3793,3.3823,3.3867,3.3832,3.3835,3.3867,3.4087,3.4099,3.4031,3.3861,3.3836,3.4066,3.3459,3.411,3.3865
11:25:15,3.3786,3.3784,3.3818,3.3854,3.3823,3.3821,3.3843,3.4073,3.4059,3.4012,3.3828,3.3841,3.4064,3.3447,3.4096,3.3844
11:25:16,3.3786,3.377,3.3793,3.3839,3.3816,3.3793,3.3825,3.4071,3.4016,3.4003,3.3828,3.3836,3.4038,3.3438,3.4082,3.3837
11:25:17,3.3772,3.3761,3.3786,3.3823,3.3793,3.3792,3.3818,3.4062,3.3984,3.3995,3.3812,3.3825,3.404,3.3424,3.4071,3.3828
11:25:18,3.3749,3.3746,3.3779,3.3814,3.3791,3.3785,3.3802,3.4057,3.3956,3.3981,3.3814,3.3822,3.4033,3.3421,3.4062,3.3816
11:25:19,3.3758,3.3737,3.3762,3.3804,3.3774,3.3765,3.3795,3.4045,3.3921,3.3977,3.3791,3.3815,3.4008,3.3402,3.405,3.3809
11:25:20,3.3739,3.3728,3.3757,3.3785,3.3767,3.3765,3.3781,3.4039,3.3904,3.3956,3.3783,3.3804,3.401,3.3391,3.4029,3.3795
11:25:21,3.3737,3.3721,3.3748,3.3779,3.3769,3.3753,3.3774,3.4045,3.3871,3.396,3.3774,3.3801,3.4001,3.3389,3.402,3.3788
11:25:22,3.3732,3.3714,3.3743,3.3778,3.3749,3.375,3.3762,3.4029,3.385,3.3939,3.3762,3.3797,3.3991,3.3374,3.4012,3.3776
11:25:23,3.3718,3.3711,3.3736,3.3769,3.3749,3.3737,3.3755,3.4031,3.3825,3.3935,3.3757,3.3787,3.3968,3.3361,3.3997,3.3771
11:25:24,3.3719,3.3696,3.3726,3.3761,3.3733,3.3729,3.3751,3.4017,3.3809,3.3926,3.3754,3.3787,3.3975,3.3366,3.3953,3.3758
